zipcode,2011,2012,2013,2014,2015
30338,326191.666667,326425.0,362066.666667,395608.333333,404208.333333
30339,258750.0,248775.0,268341.666667,290516.666667,302575.0
30340,115625.0,117208.33333299999,127466.66666700001,142408.333333,154766.666667
30341,201183.333333,201208.333333,221441.666667,246091.666667,258083.333333
30342,387658.333333,400241.666667,435508.333333,498116.666667,535008.333333
30345,284591.666667,279650.0,313050.0,340608.333333,358450.0
30349,67325.0,58916.666667,69108.333333,79116.666667,90725.0
30350,297700.0,307950.0,339050.0,367991.666667,387500.0
30517,166191.666667,156808.333333,168766.666667,187916.666667,200108.333333
30533,147441.666667,146433.333333,161675.0,171508.333333,183625.0
30542,139500.0,132775.0,140608.333333,158191.666667,170350.0
30605,122008.33333299999,119891.66666700001,119600.0,124608.33333299999,129650.0
30731,,,,,
30741,70733.333333,72650.0,71941.666667,75083.333333,75075.0
31016,,,,,
31023,57416.666667,55158.333333,59075.0,80350.0,86566.666667
31401,174966.666667,171025.0,179575.0,182125.0,192608.333333
31405,134058.333333,129733.33333299999,130625.0,140025.0,143433.333333
31705,67341.666667,62483.333333,59800.0,59650.0,59891.666667
31909,134341.666667,131866.666667,129083.33333299999,130900.0,131808.333333
32082,358075.0,367900.0,403566.666667,425875.0,441908.333333
32137,156075.0,158341.666667,171041.666667,191316.666667,206300.0
32205,95008.333333,81500.0,84633.333333,96175.0,108500.0
32220,118350.0,114033.33333299999,122616.66666700001,135500.0,140225.0
32222,128591.66666700001,120541.66666700001,134375.0,147691.666667,153941.666667
32246,114350.0,105250.0,116383.33333299999,131325.0,136175.0
